Date,PEP_ret,PEP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2018-06-08,0.0130617363519578,0.0063580378318952,0,0.9999279007715198,7.209922875801221e-05,7.209922875801221e-05,1.0,0.004419677396949942
2018-06-11,0.0070002551231749,0.0064073543855035,0,0.9999556711666875,4.432883343981843e-05,4.432883343981843e-05,1.0,0.006079245920288182
2018-06-12,0.0122299389746878,0.0065252718882586,0,0.9999374761675529,6.252383228306774e-05,6.252383228306774e-05,1.0,0.008345462723540604
2018-06-13,0.0075330019475053,0.0063048510708995,0,0.9999524165130335,4.758348734108913e-05,4.758348734108913e-05,1.0,0.008618534032156563
2018-06-14,-0.0013307719793308,0.0064450434632397,0,0.9999298817956834,7.011820459161422e-05,7.011820459161422e-05,1.0,0.007698832083599003
2018-06-15,0.0233157561580652,0.0076965466515199,0,0.9994730385028335,0.0005269614969106016,0.0005269614969106016,1.0,0.009749636044820483
2018-06-18,-0.0209405796002781,0.0094749533561144,0,0.9995222432476822,0.00047775675215736766,0.00047775675215736766,1.0,0.004161469100129882
2018-06-19,0.0054887544133839,0.008709343219611,0,0.9999519644148284,4.8035585261153326e-05,4.8035585261153326e-05,1.0,0.002813232187869102
2018-06-20,-0.0014167713613609,0.0087791237294932,0,0.999976547394348,2.345260523512069e-05,2.345260523512069e-05,1.0,0.0010232775260958621
2018-06-21,0.0134245133938105,0.0090602030700245,0,0.9999499743078998,5.0025692337673665e-05,5.0025692337673665e-05,1.0,0.003974334600724122
2018-06-22,0.0104819391254651,0.0090477850490705,0,0.9999634918383504,3.65081617072929e-05,3.65081617072929e-05,1.0,0.0014075711942041018
2018-06-25,0.0057048233311307,0.0090221984536459,0,0.9999750420369752,2.495796345115663e-05,2.495796345115663e-05,1.0,0.0067366517804858615
2018-06-26,-0.0086620169046839,0.0094550768649078,0,0.9999647520753948,3.5247924342209047e-05,3.5247924342209047e-05,1.0,0.003906497516872301
2018-06-27,0.0020339709017681,0.0094274156624514,0,0.9999773904937991,2.2609506038508212e-05,2.2609506038508212e-05,1.0,0.0045966459694981015
2018-06-28,0.0037796142520372,0.0091286402507714,0,0.9999782462993254,2.1753700871775835e-05,2.1753700871775835e-05,1.0,0.002667666141143441
2018-06-29,0.0017470678449187,0.009096277576888,0,0.9999789467153074,2.105328512859226e-05,2.105328512859226e-05,1.0,0.0009206918850341613
2018-07-02,0.0060436394783742,0.009013714657662,0,0.9999721617678466,2.7838231732779114e-05,2.7838231732779114e-05,1.0,0.0009884551144828612
2018-07-03,-0.0066869780966951,0.0093270047716908,0,0.9999070919436553,9.290805641650832e-05,9.290805641650832e-05,1.0,0.0013834628760806213
